activity_comment,activity_id,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,document_year,molecule_chembl_id,parent_molecule_chembl_id,pchembl_value,potential_duplicate,published_relation,published_type,published_units,published_value,qudt_units,record_id,src_id,standard_flag,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,uo_units
,1116024,CHEMBL682115,In vitro relative binding affinity by competition with [3H]17-beta-estradiol for estrogen receptor in MCF-7 cell lysate,B,,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1130160,J. Med. Chem.,1997,CHEMBL489,CHEMBL489,,False,=,RBA,,0.36,,73696,1,False,=,RBA,,0.36,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,
,1116025,CHEMBL708494,Antagonism of estrogen action in a mammary tumor cell line was assayed via inhibition of MCF-7 cell proliferation stimulated by 10 e-11 M 17-beta-estradiol (in vitro),F,BAO_0000190,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1130160,J. Med. Chem.,1997,CHEMBL489,CHEMBL489,9.3,False,=,IC50,nM,0.5,http://www.openphacts.org/units/Nanomolar,73696,1,True,=,IC50,nM,0.5,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000065
,1151573,CHEMBL681151,In vitro displacement of 0.5 nM [3H]17-beta-estradiol from human Estrogen receptor alpha,B,BAO_0000192,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136756,J. Med. Chem.,2003,CHEMBL489,CHEMBL489,9.6,False,=,Ki,nM,0.25,http://www.openphacts.org/units/Nanomolar,47626,1,True,=,Ki,nM,0.25,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,1151574,CHEMBL678663,In vitro displacement of 0.5 nM [3H]17-beta-estradiol from human Estrogen receptor beta,B,BAO_0000192,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136756,J. Med. Chem.,2003,CHEMBL489,CHEMBL489,9.8,False,=,Ki,nM,0.16,http://www.openphacts.org/units/Nanomolar,47626,1,True,=,Ki,nM,0.16,CHEMBL242,Homo sapiens,Estrogen receptor beta,9606,UO_0000065
Partial agonist,1151575,CHEMBL851291,Partial agonist/antagonist effect on transcriptional activation by human ER alpha and ER beta on vitellogenin A2 ERE,F,,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136756,J. Med. Chem.,2003,CHEMBL489,CHEMBL489,,False,,Transcriptional activation,,,,47626,1,False,,Transcriptional activation,,,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,
,1288933,CHEMBL872823,Inhibition of calmodulin-dependent Phosphodiesterase,B,BAO_0000190,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1128750,J. Med. Chem.,1995,CHEMBL489,CHEMBL489,4.72,False,=,IC50,uM,19,http://www.openphacts.org/units/Nanomolar,147794,1,True,=,IC50,nM,19000,CHEMBL612545,,Unchecked,,UO_0000065
,1288934,CHEMBL678572,Receptor binding affinity(RBA) for rat uterine cytosolic estrogen receptor relative to estradiol,B,,BAO_0000224,protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1128750,J. Med. Chem.,1995,CHEMBL489,CHEMBL489,,False,=,RBA,,100,,147794,1,False,=,RBA,,100,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,
,1288935,CHEMBL711609,In vitro cytotoxicity against hormone-responsive MCF-7 cell line.,F,BAO_0000190,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1128750,J. Med. Chem.,1995,CHEMBL489,CHEMBL489,4.81,False,=,IC50,uM,15.5,http://www.openphacts.org/units/Nanomolar,147794,1,True,=,IC50,nM,15500,CHEMBL387,Homo sapiens,MCF7,9606,UO_0000065
,1302962,CHEMBL683101,Inhibition of estradiol binding to estrogen receptor in Human Breast cancer cytosol (3.3% ethanol),B,BAO_0000192,BAO_0000224,protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1130420,J. Med. Chem.,1997,CHEMBL489,CHEMBL489,9.6,False,=,Ki,nM,0.249,http://www.openphacts.org/units/Nanomolar,116193,1,True,=,Ki,nM,0.249,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000065
,1302963,CHEMBL679328,Relative affinity for estrogen receptor of Human Breast cancer or normal uterine cytosol (3.3%ethanol) compared to estradiol,B,,BAO_0000224,protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1130420,J. Med. Chem.,1997,CHEMBL489,CHEMBL489,,False,=,RBA,,43.8,,116193,1,False,=,RBA,,43.8,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,
,1302964,CHEMBL683104,Apparent inhibition constant for estrogen receptor in Human uterine cytosol in 3.3%ethanol,B,BAO_0000192,BAO_0000224,protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1130420,J. Med. Chem.,1997,CHEMBL489,CHEMBL489,9.46,False,=,Ki,nM,0.346,http://www.openphacts.org/units/Nanomolar,116193,1,True,=,Ki,nM,0.346,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000065
,1302965,CHEMBL679328,Relative affinity for estrogen receptor of Human Breast cancer or normal uterine cytosol (3.3%ethanol) compared to estradiol,B,,BAO_0000224,protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1130420,J. Med. Chem.,1997,CHEMBL489,CHEMBL489,,False,=,RBA,,43.8,,116193,1,False,=,RBA,,43.8,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,
,1303598,CHEMBL677865,Binding affinity for Estrogen receptor alpha,B,BAO_0000188,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136709,Bioorg. Med. Chem. Lett.,2003,CHEMBL489,CHEMBL489,7.8,False,=,EC50,uM,0.0157,http://www.openphacts.org/units/Nanomolar,54683,1,True,=,EC50,nM,15.7,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,1303599,CHEMBL681155,Relative binding affinity for Estrogen receptor alpha compared to estradiol,B,,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1136709,Bioorg. Med. Chem. Lett.,2003,CHEMBL489,CHEMBL489,,False,=,RBA,,26,,54683,1,False,=,RBA,,26,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,
,1445714,CHEMBL827959,Inhibition of [3H]estradiol binding to Estrogen receptor alpha,B,BAO_0000192,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1137044,Bioorg. Med. Chem. Lett.,2004,CHEMBL489,CHEMBL489,9.3,False,=,Ki,nM,0.5,http://www.openphacts.org/units/Nanomolar,373869,1,True,=,Ki,nM,0.5,CHEMBL612545,,Unchecked,,UO_0000065
,1445715,CHEMBL827948,Inhibition of [3H]estradiol binding to Estrogen receptor beta,B,BAO_0000192,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1137044,Bioorg. Med. Chem. Lett.,2004,CHEMBL489,CHEMBL489,9.3,False,=,Ki,nM,0.5,http://www.openphacts.org/units/Nanomolar,373869,1,True,=,Ki,nM,0.5,CHEMBL612545,,Unchecked,,UO_0000065
,1445716,CHEMBL826597,Antagonist effect against 10 pM 17-beta-estradiol induced MCF-7 cell proliferation,F,BAO_0000190,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1137044,Bioorg. Med. Chem. Lett.,2004,CHEMBL489,CHEMBL489,8.59,True,=,IC50,nM,2.6,http://www.openphacts.org/units/Nanomolar,373869,1,True,=,IC50,nM,2.6,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000065
,1445717,CHEMBL826094,Antagonist effect against 10 pM 17-beta-estradiol induced MCF-7 cell proliferation,F,BAO_0000656,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1137044,Bioorg. Med. Chem. Lett.,2004,CHEMBL489,CHEMBL489,,False,=,Efficacy,%,79,http://qudt.org/vocab/unit#Percent,373869,1,False,=,Efficacy,%,79,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000187
,1445718,CHEMBL837410,Agonist activity as alkaline phosphatase induction in Ishikawa endometrial cells compared to E2,F,BAO_0000188,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1137044,Bioorg. Med. Chem. Lett.,2004,CHEMBL489,CHEMBL489,9.1,False,=,EC50,nM,0.8,http://www.openphacts.org/units/Nanomolar,373869,1,True,=,EC50,nM,0.8,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000065
,1445719,CHEMBL826093,Agonist activity as efficacy in alkaline phosphatase induction in Ishikawa endometrial cells compared to E2,F,BAO_0000656,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1137044,Bioorg. Med. Chem. Lett.,2004,CHEMBL489,CHEMBL489,,False,=,Efficacy,%,140,http://qudt.org/vocab/unit#Percent,373869,1,False,=,Efficacy,%,140,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000187
,1445720,CHEMBL835873,Antagonist activity as inhibition of 1 nM 17-beta-estradiol stimulated alkaline phosphatase induction in Ishikawa endometrial cells,F,BAO_0000190,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1137044,Bioorg. Med. Chem. Lett.,2004,CHEMBL489,CHEMBL489,6.29,False,=,IC50,nM,510,http://www.openphacts.org/units/Nanomolar,373869,1,True,=,IC50,nM,510,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000065
,1445721,CHEMBL826095,Inhibition of 1 nM 17-beta- estradiol stimulated alkaline phosphatase induction in Ishikawa endometrial cells,F,BAO_0000656,BAO_0000219,cell-based format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1137044,Bioorg. Med. Chem. Lett.,2004,CHEMBL489,CHEMBL489,,False,=,Efficacy,%,45,http://qudt.org/vocab/unit#Percent,373869,1,False,=,Efficacy,%,45,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000187
,1502441,CHEMBL840171,Relative binding affinity for Estrogen receptor alpha,B,,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1143594,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,,False,=,RBA,,38.5,,388900,1,False,=,RBA,,38.5,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,
,1502442,CHEMBL840170,Relative binding affinity for Estrogen receptor beta,B,,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1143594,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,,False,=,RBA,,18.5,,388900,1,False,=,RBA,,18.5,CHEMBL242,Homo sapiens,Estrogen receptor beta,9606,
,1502443,CHEMBL827333,Partition coefficient (logP),A,BAO_0002130,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1143594,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,,False,=,logP,,3.2,,388900,1,True,=,LogP,,3.2,CHEMBL612558,,ADMET,,
,1502569,CHEMBL827334,Partition coefficient (logP),A,BAO_0002130,BAO_0000019,assay format,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1143594,J. Med. Chem.,2005,CHEMBL279301,CHEMBL279301,,False,=,logP,,3.4,,389047,1,True,=,LogP,,3.4,CHEMBL612558,,ADMET,,
,1507449,CHEMBL834429,Estrogen-Related Receptor gamma activity in FRET assay,F,BAO_0000188,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1143621,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,7.82,False,=,EC50,uM,0.015,http://www.openphacts.org/units/Nanomolar,390954,1,True,=,EC50,nM,15,CHEMBL4245,Homo sapiens,Estrogen-related receptor gamma,9606,UO_0000065
,1507450,CHEMBL826089,Estrogen-Related Receptor gamma activity in FRET assay,F,BAO_0000656,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1143621,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,,False,=,Efficacy,%,100,http://qudt.org/vocab/unit#Percent,390954,1,False,=,Efficacy,%,100,CHEMBL4245,Homo sapiens,Estrogen-related receptor gamma,9606,UO_0000187
,1512505,CHEMBL839287,Relative binding affinity for estrogen receptor 1 (ER-alpha) of lamb uterine cytosol,B,,BAO_0000357,single protein format,CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1139535,J. Med. Chem.,2005,CHEMBL149791,CHEMBL149791,,False,=,RBA,h/min,6.8,,391896,1,False,=,RBA,h/min,6.8,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,
,1512506,CHEMBL840173,Relative binding affinity for purified estrogen receptor 1 (ER-alpha),B,,BAO_0000019,assay format,CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1139535,J. Med. Chem.,2005,CHEMBL149791,CHEMBL149791,,False,=,RBA,h/min,47.5,,391896,1,False,=,RBA,h/min,47.5,CHEMBL612545,,Unchecked,,
,1512507,CHEMBL840172,Relative binding affinity for estrogen receptor 2 (ER-beta),B,,BAO_0000357,single protein format,CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1139535,J. Med. Chem.,2005,CHEMBL149791,CHEMBL149791,,False,=,RBA,h/min,101,,391896,1,False,=,RBA,h/min,101,CHEMBL242,Homo sapiens,Estrogen receptor beta,9606,
,1512508,CHEMBL851968,Partition coefficient (logP),A,BAO_0002130,BAO_0000019,assay format,CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,,CHEMBL1139535,J. Med. Chem.,2005,CHEMBL149791,CHEMBL149791,,False,=,logP,,4.4,,391896,1,True,=,LogP,,4.4,CHEMBL612558,,ADMET,,
,1518970,CHEMBL840199,Binding affinity for human estrogen receptor alpha,B,BAO_0000192,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1145207,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,8.6,False,=,Log Ki,,-8.6,http://www.openphacts.org/units/Nanomolar,393626,1,True,=,Ki,nM,2.512,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,1518971,CHEMBL840098,Binding affinity for human estrogen receptor beta,B,BAO_0000192,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1145207,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,8.5,False,=,Log Ki,,-8.5,http://www.openphacts.org/units/Nanomolar,393626,1,True,=,Ki,nM,3.162,CHEMBL242,Homo sapiens,Estrogen receptor beta,9606,UO_0000065
,1518972,CHEMBL828339,Mean fluorescence intensity corrected to basal for GW-5638 selective peptide binding to human estrogen receptor alpha,B,,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1145207,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,,False,=,MFI,,-20,,393626,1,False,=,MFI,,-20,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,
,1518973,CHEMBL835777,pIC50 for 1 nM estradiol-induced Ishikawa cell proliferation,F,BAO_0000190,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1145207,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,8.8,False,=,Log IC50,,-8.8000000000000007,http://www.openphacts.org/units/Nanomolar,393626,1,True,=,IC50,nM,1.585,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000065
,1518974,CHEMBL835525,Ishikawa cell alkaline phosphatase activity as percent maximal induction relative to 17 alpha-estradiol,F,,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1145207,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,,False,=,E2,%,14,http://qudt.org/vocab/unit#Percent,393626,1,False,=,E2,%,14,CHEMBL2093866,Homo sapiens,Estrogen receptor,9606,UO_0000187
,1605749,CHEMBL872182,Inhibitory concentration against recombinant rat androgen receptor expressed in Escherichia coli using [3H]methyltrienolone (R 1881),B,BAO_0000190,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1141069,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,5.03,False,=,pIC50,,5.03,http://www.openphacts.org/units/Nanomolar,401773,1,True,=,IC50,nM,9332.54,CHEMBL3072,Rattus norvegicus,Androgen Receptor,10116,UO_0000065
,1608722,CHEMBL881238,Antagonistic activity against estrogen receptor alpha in presence of 0.1 nM estradiol,F,BAO_0000192,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1141087,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,10.4,False,=,Ki,nM,0.04,http://www.openphacts.org/units/Nanomolar,402631,1,True,=,Ki,nM,0.04,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,1608723,CHEMBL881235,Antagonistic activity against estrogen receptor beta in presence of 0.1 nM estradiol,F,BAO_0000192,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1141087,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,10.85,False,=,Ki,nM,0.014,http://www.openphacts.org/units/Nanomolar,402631,1,True,=,Ki,nM,0.014,CHEMBL242,Homo sapiens,Estrogen receptor beta,9606,UO_0000065
,1608724,CHEMBL881339,Binding affinity towards human estrogen receptor alpha in a competitive binding assay using fluorescently labelled estradiol,B,BAO_0000192,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1141087,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,8.24,False,=,Ki,nM,5.7,http://www.openphacts.org/units/Nanomolar,402631,1,True,=,Ki,nM,5.7,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,1608725,CHEMBL881237,Binding affinity towards human estrogen receptor beta in a competitive binding assay using fluorescently labelled estradiol,B,BAO_0000192,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1141087,J. Med. Chem.,2005,CHEMBL489,CHEMBL489,8.77,False,=,Ki,nM,1.7,http://www.openphacts.org/units/Nanomolar,402631,1,True,=,Ki,nM,1.7,CHEMBL242,Homo sapiens,Estrogen receptor beta,9606,UO_0000065
,1681340,CHEMBL867061,Displacement of [3H]4-OHT from ERRgamma,B,BAO_0000190,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL489,CHEMBL489,7.89,False,=,IC50,uM,0.013,http://www.openphacts.org/units/Nanomolar,427748,1,True,=,IC50,nM,13,CHEMBL4245,Homo sapiens,Estrogen-related receptor gamma,9606,UO_0000065
,1681341,CHEMBL867062,Displacement of [3H]estradiol from ERalpha,B,BAO_0000190,BAO_0000357,single protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL489,CHEMBL489,8.7,False,=,IC50,uM,0.002,http://www.openphacts.org/units/Nanomolar,427748,1,True,=,IC50,nM,2,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,1681374,CHEMBL867061,Displacement of [3H]4-OHT from ERRgamma,B,BAO_0000190,BAO_0000357,single protein format,CN(C)CCOc1ccc(cc1)\C(=C(\CCCCO)/c2ccccc2)\c3ccc(O)cc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL383533,CHEMBL383533,6.1,False,=,IC50,uM,0.79,http://www.openphacts.org/units/Nanomolar,427762,1,True,=,IC50,nM,790,CHEMBL4245,Homo sapiens,Estrogen-related receptor gamma,9606,UO_0000065
,1681375,CHEMBL867061,Displacement of [3H]4-OHT from ERRgamma,B,BAO_0000190,BAO_0000357,single protein format,CN(C)CCOc1ccc(cc1)\C(=C(\CCCO)/c2ccccc2)\c3ccc(O)cc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL201013,CHEMBL201013,7.1,False,=,IC50,uM,0.079,http://www.openphacts.org/units/Nanomolar,427761,1,True,=,IC50,nM,79,CHEMBL4245,Homo sapiens,Estrogen-related receptor gamma,9606,UO_0000065
,1681376,CHEMBL867061,Displacement of [3H]4-OHT from ERRgamma,B,BAO_0000190,BAO_0000357,single protein format,CN(C)CCOc1ccc(cc1)\C(=C(\CCO)/c2ccccc2)\c3ccc(O)cc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL204376,CHEMBL204376,6.6,False,=,IC50,uM,0.25,http://www.openphacts.org/units/Nanomolar,427760,1,True,=,IC50,nM,250,CHEMBL4245,Homo sapiens,Estrogen-related receptor gamma,9606,UO_0000065
,1681382,CHEMBL867061,Displacement of [3H]4-OHT from ERRgamma,B,BAO_0000190,BAO_0000357,single protein format,CN(C)CCOc1ccc(cc1)\C(=C(\CCCCl)/c2ccccc2)\c3ccc(O)cc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL383112,CHEMBL383112,6.89,False,=,IC50,uM,0.13,http://www.openphacts.org/units/Nanomolar,427750,1,True,=,IC50,nM,130,CHEMBL4245,Homo sapiens,Estrogen-related receptor gamma,9606,UO_0000065
,1681384,CHEMBL867062,Displacement of [3H]estradiol from ERalpha,B,BAO_0000190,BAO_0000357,single protein format,CN(C)CCOc1ccc(cc1)\C(=C(\CCCCO)/c2ccccc2)\c3ccc(O)cc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL383533,CHEMBL383533,7.1,False,=,IC50,uM,0.079,http://www.openphacts.org/units/Nanomolar,427762,1,True,=,IC50,nM,79,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,1681385,CHEMBL867062,Displacement of [3H]estradiol from ERalpha,B,BAO_0000190,BAO_0000357,single protein format,CN(C)CCOc1ccc(cc1)\C(=C(\CCCO)/c2ccccc2)\c3ccc(O)cc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL201013,CHEMBL201013,6.5,False,=,IC50,uM,0.32,http://www.openphacts.org/units/Nanomolar,427761,1,True,=,IC50,nM,320,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,1681386,CHEMBL867062,Displacement of [3H]estradiol from ERalpha,B,BAO_0000190,BAO_0000357,single protein format,CN(C)CCOc1ccc(cc1)\C(=C(\CCO)/c2ccccc2)\c3ccc(O)cc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL204376,CHEMBL204376,6.6,False,=,IC50,uM,0.25,http://www.openphacts.org/units/Nanomolar,427760,1,True,=,IC50,nM,250,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,1681392,CHEMBL867062,Displacement of [3H]estradiol from ERalpha,B,BAO_0000190,BAO_0000357,single protein format,CN(C)CCOc1ccc(cc1)\C(=C(\CCCCl)/c2ccccc2)\c3ccc(O)cc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL383112,CHEMBL383112,7,False,=,IC50,uM,0.1,http://www.openphacts.org/units/Nanomolar,427750,1,True,=,IC50,nM,100,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,UO_0000065
,1681399,CHEMBL866409,Inhibition of interaction between ERRgamma and NR cofactor RIP140 in FRET assay,F,BAO_0000190,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL489,CHEMBL489,7.7,False,=,IC50,nM,20,http://www.openphacts.org/units/Nanomolar,427748,1,True,=,IC50,nM,20,CHEMBL4245,Homo sapiens,Estrogen-related receptor gamma,9606,UO_0000065
,1681400,CHEMBL866409,Inhibition of interaction between ERRgamma and NR cofactor RIP140 in FRET assay,F,BAO_0000190,BAO_0000019,assay format,CN(C)CCOc1ccc(cc1)\C(=C(\CCCO)/c2ccccc2)\c3ccc(O)cc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL201013,CHEMBL201013,6.6,False,=,IC50,nM,250,http://www.openphacts.org/units/Nanomolar,427761,1,True,=,IC50,nM,250,CHEMBL4245,Homo sapiens,Estrogen-related receptor gamma,9606,UO_0000065
Not Determined,1681401,CHEMBL866411,Repression of transcriptional activity in ERalpha transfected HeLa cell luciferase assay at 1 uM,F,BAO_0000375,BAO_0000019,assay format,CN(C)CCOc1ccc(cc1)\C(=C(\CCCO)/c2ccccc2)\c3ccc(O)cc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL201013,CHEMBL201013,,False,,Activity,,,,427761,1,False,,Activity,,,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,
,1681402,CHEMBL866412,Repression of transcriptional activity in ERRgamma transfected HeLa cell luciferase assay at 1 uM,F,BAO_0001103,BAO_0000019,assay format,CN(C)CCOc1ccc(cc1)\C(=C(\CCCO)/c2ccccc2)\c3ccc(O)cc3,,CHEMBL1149464,Bioorg. Med. Chem. Lett.,2006,CHEMBL201013,CHEMBL201013,,False,=,Activity,%,69,http://qudt.org/vocab/unit#Percent,427761,1,False,=,Activity,%,69,CHEMBL4245,Homo sapiens,Estrogen-related receptor gamma,9606,UO_0000187
